file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
baapach-2,a:,605.9901755,1185.448267,2389.442306,baapach-2,ə,593.5817019,1157.433934,2491.647872,baapach-2,a:,577.2962491,1421.068725,2557.233351,baapach-2,closure,626.5333136,1747.858703,3097.095771,baapach-2,p burst,478.5737451,1714.521123,2977.721822,baapach-2,_,547.7026452,1229.144959,2802.322506,baapach-2,x,881.7111382,2021.005464,3208.977267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baapach-3,a:,701.8907216,1332.869993,2616.132531,baapach-3,ə,600.1184854,1034.178712,2696.490359,baapach-3,a:,696.1262359,1466.512463,2736.042401,baapach-3,closure,833.3792237,1851.46347,3147.214244,baapach-3,p burst,871.2507363,2213.176069,3168.057164,baapach-3,x,870.7877389,2319.002637,3357.723026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baapach,a:,774.024723,1503.986532,2737.11296,baapach,ə,475.5159885,1362.685831,2929.440778,baapach,a:,558.061099,1337.098378,2463.906413,baapach,closure,617.8919894,1421.635908,2969.512018,baapach,p burst,242.6800218,1321.661136,2755.362776,baapach,_,516.4104031,880.3575409,2465.085198,baapach,x,888.0661916,2354.240732,3451.986232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baasuu-2,a:,634.0855959,1396.397726,2412.413826,baasuu-2,u:,367.9571212,1036.345778,2884.927232,baasuu-2,a:,518.5260927,1355.157798,2624.259029,baasuu-2,s,1516.673215,2606.905166,3518.544887,baasuu-2,u,366.2325383,1121.650087,2590.524612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baasuu-3,a:,575.6619179,1630.919495,2719.718233,baasuu-3,u:,358.833799,1174.607209,2668.007563,baasuu-3,a:,594.2827139,1603.251264,2578.868977,baasuu-3,s,1502.555596,2656.516895,3553.644588,baasuu-3,u,442.0850189,1304.29764,2680.213812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baasuu,a:,607.308722,1197.778661,2333.420038,baasuu,u:,311.1049117,926.297494,3077.757303,baasuu,a:,521.2329934,1173.313714,2510.094214,baasuu,s,1429.136604,2677.897081,3664.867161,baasuu,u,332.6016846,1038.433061,3039.974987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacach-2,ə,515.1308127,1311.159458,2450.279483,bacach-2,a,569.390245,1313.116969,2611.297516,bacach-2,ə,334.9570698,1151.983403,2892.298929,bacach-2,closure,614.6069609,1657.229131,3021.249681,bacach-2,k burst,891.7176077,1575.613982,2840.102742,bacach-2,a,602.9891386,1402.028108,2591.176586,bacach-2,x,1006.682287,2398.129836,3445.695193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacach-3,ə,496.885588,1297.409058,2733.795304,bacach-3,a,725.7511686,1512.535296,2734.216123,bacach-3,ə,407.8767769,1249.669363,2602.963119,bacach-3,closure,607.0848797,1489.656573,3031.561299,bacach-3,k burst,764.5371289,1453.389533,2799.344517,bacach-3,a,616.8234724,1479.708421,2649.485364,bacach-3,x,1104.602496,2620.821131,3650.266869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacach-4,ə,455.913564,1326.256412,2832.973957,bacach-4,a,693.4064857,1448.110175,2696.272172,bacach-4,ə,326.7149955,1233.902252,2482.879971,bacach-4,closure,838.2460137,1775.671777,3041.523512,bacach-4,k burst,963.3465904,1929.828423,2998.446432,bacach-4,a,616.7458278,1425.546942,2270.821609,bacach-4,x,1026.777026,2371.872014,3296.545565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacach-5,ə,455.4374601,1308.000758,2908.182199,bacach-5,a,614.441536,1337.094716,2562.755049,bacach-5,ə,422.5326784,1318.869292,2760.776369,bacach-5,closure,651.7422394,1617.742235,3141.718486,bacach-5,k burst,827.7434985,1518.788302,2909.052027,bacach-5,a,651.474676,1582.372116,2950.596026,bacach-5,x,1083.130203,2263.379844,3196.375863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
