soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
baapach-2,closure,171.1773807,1534.57415,3116.329374,baapach-2,b burst,492.2807056,1203.191832,2587.440604,baapach-2,a,605.9901755,1185.448267,2389.442306,baapach-2,closure,685.6161787,1517.515444,3161.947271,baapach-2,p burst,683.387251,1810.215265,3023.297981,baapach-2,_,593.5817019,1157.433934,2491.647872,baapach-2,x,830.7933558,1829.877327,3058.756606,baapach-2,closure,345.3399106,1514.825486,2894.194728,baapach-2,b burst,322.6965492,1352.922276,2659.694953,baapach-2,a,577.2962491,1421.068725,2557.233351,baapach-2,closure,626.5333136,1747.858703,3097.095771,baapach-2,p burst,478.5737451,1714.521123,2977.721822,baapach-2,_,547.7026452,1229.144959,2802.322506,baapach-2,x,881.7111382,2021.005464,3208.977267,,,,,,,,,,
baapach-3,closure,155.6775064,1405.529384,2812.606932,baapach-3,b burst,445.5791995,1202.009995,2311.510313,baapach-3,a,701.8907216,1332.869993,2616.132531,baapach-3,closure,665.4381195,1462.332963,3042.851287,baapach-3,p burst,652.7956061,1779.967407,3140.425383,baapach-3,_,600.1184854,1034.178712,2696.490359,baapach-3,x,810.5151029,2181.094046,3287.981835,baapach-3,closure,796.0596351,1917.904578,3158.212489,baapach-3,b burst,361.5826419,1478.11729,2675.939511,baapach-3,a,696.1262359,1466.512463,2736.042401,baapach-3,closure,833.3792237,1851.46347,3147.214244,baapach-3,p burst,871.2507363,2213.176069,3168.057164,baapach-3,x,870.7877389,2319.002637,3357.723026,,,,,,,,,,,,,,,
baapach,closure,152.0266455,1818.498737,3108.004032,baapach,b burst,474.7791945,1498.889698,2889.786094,baapach,a,774.024723,1503.986532,2737.11296,baapach,closure,798.5284441,1888.250671,3187.219956,baapach,p burst,603.5835428,1965.519845,2868.774472,baapach,_,475.5159885,1362.685831,2929.440778,baapach,x,876.2493003,2106.370849,3146.368146,baapach,closure,771.893989,1983.390325,3283.374142,baapach,b burst,473.0179476,1532.177278,2772.964579,baapach,a,558.061099,1337.098378,2463.906413,baapach,closure,617.8919894,1421.635908,2969.512018,baapach,p burst,242.6800218,1321.661136,2755.362776,baapach,_,516.4104031,880.3575409,2465.085198,baapach,x,888.0661916,2354.240732,3451.986232,,,,,,,,,,
baasuu-2,closure,158.4933251,1396.212509,2919.724867,baasuu-2,b burst,519.8696573,1526.038684,2653.668352,baasuu-2,a,634.0855959,1396.397726,2412.413826,baasuu-2,s,1403.932292,2523.090888,3456.484861,baasuu-2,u,367.9571212,1036.345778,2884.927232,baasuu-2,closure,742.3139868,1870.814197,3181.709627,baasuu-2,b burst,569.0242842,1567.954932,2781.169861,baasuu-2,a,518.5260927,1355.157798,2624.259029,baasuu-2,s,1516.673215,2606.905166,3518.544887,baasuu-2,u,366.2325383,1121.650087,2590.524612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baasuu-3,closure,179.7484164,967.4904261,2810.278945,baasuu-3,b burst,561.8411267,1379.623036,2375.378722,baasuu-3,a,575.6619179,1630.919495,2719.718233,baasuu-3,s,1584.681104,2732.588275,3538.619801,baasuu-3,u,358.833799,1174.607209,2668.007563,baasuu-3,closure,240.5913743,1332.628233,2612.067936,baasuu-3,b burst,693.6337821,1777.57633,2744.221923,baasuu-3,a,594.2827139,1603.251264,2578.868977,baasuu-3,s,1502.555596,2656.516895,3553.644588,baasuu-3,u,442.0850189,1304.29764,2680.213812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baasuu,closure,1152.426518,2539.144001,3721.72992,baasuu,b burst,424.7208946,1114.381988,2425.636142,baasuu,a,607.308722,1197.778661,2333.420038,baasuu,s,1080.931903,2487.052777,3409.033216,baasuu,u,311.1049117,926.297494,3077.757303,baasuu,closure,387.2912296,1469.534552,3063.470561,baasuu,b burst,819.2775878,1701.408606,3026.937256,baasuu,a,521.2329934,1173.313714,2510.094214,baasuu,s,1429.136604,2677.897081,3664.867161,baasuu,u,332.6016846,1038.433061,3039.974987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacach-2,closure,164.7329896,1181.355021,2821.57926,bacach-2,b burst,230.6532706,1331.721758,2384.077178,bacach-2,_,515.1308127,1311.159458,2450.279483,bacach-2,k burst,847.5919047,1605.794557,3010.715975,bacach-2,a,569.390245,1313.116969,2611.297516,bacach-2,x,912.7226589,2180.435955,3278.492151,bacach-2,closure,373.8678612,1557.14549,2637.359913,bacach-2, b burst,838.282862,1860.380276,3229.988665,bacach-2,_,334.9570698,1151.983403,2892.298929,bacach-2,closure,614.6069609,1657.229131,3021.249681,bacach-2,k burst,891.7176077,1575.613982,2840.102742,bacach-2,a,602.9891386,1402.028108,2591.176586,bacach-2,x,1006.682287,2398.129836,3445.695193,,,,,,,,,,,,,,,
bacach-3,closure,196.5510541,1417.155794,2939.724102,bacach-3,b burst,422.8861136,1263.018755,2439.030704,bacach-3,_,496.885588,1297.409058,2733.795304,bacach-3,closure,550.4586186,1472.107448,2993.386908,bacach-3,k burst,1041.318275,1634.020089,2937.162558,bacach-3,a,725.7511686,1512.535296,2734.216123,bacach-3,x,1019.782946,2025.898707,3117.006378,bacach-3,closure,746.2107096,1593.848283,3209.191853,bacach-3,b burst,545.2877359,1553.446521,3005.077276,bacach-3,_,407.8767769,1249.669363,2602.963119,bacach-3,closure,607.0848797,1489.656573,3031.561299,bacach-3,k burst,764.5371289,1453.389533,2799.344517,bacach-3,a,616.8234724,1479.708421,2649.485364,bacach-3,x,1104.602496,2620.821131,3650.266869,,,,,,,,,,
bacach-4,closure,163.2135165,1774.500868,3369.249171,bacach-4,b burst,397.0555306,1310.195872,2571.205176,bacach-4,_,455.913564,1326.256412,2832.973957,bacach-4,closure,704.7016946,1730.191882,3182.856259,bacach-4,k burst,1030.087974,1837.513282,3234.753897,bacach-4,a,693.4064857,1448.110175,2696.272172,bacach-4,x,1002.421094,2173.743126,3250.205299,bacach-4,closure,531.3579511,1677.132196,3031.947957,bacach-4,b burst,424.8682288,1527.459877,2904.495868,bacach-4,_,326.7149955,1233.902252,2482.879971,bacach-4,closure,838.2460137,1775.671777,3041.523512,bacach-4,k burst,963.3465904,1929.828423,2998.446432,bacach-4,a,616.7458278,1425.546942,2270.821609,bacach-4,x,1026.777026,2371.872014,3296.545565,,,,,,,,,,
bacach-5,closure,190.3142804,1062.365334,2825.726257,bacach-5,b burst,659.3503078,1654.895624,2973.641893,bacach-5,_,455.4374601,1308.000758,2908.182199,bacach-5,closure,558.9941049,1395.265169,3054.687314,bacach-5,k burst,803.8261452,1692.762464,2856.951759,bacach-5,a,614.441536,1337.094716,2562.755049,bacach-5,x,940.9899466,1998.561863,2953.144526,bacach-5,closure,492.6902328,1586.541698,2824.812085,bacach-5,b burst,626.5763779,1795.003834,2811.258785,bacach-5,_,422.5326784,1318.869292,2760.776369,bacach-5,closure,651.7422394,1617.742235,3141.718486,bacach-5,k burst,827.7434985,1518.788302,2909.052027,bacach-5,a,651.474676,1582.372116,2950.596026,bacach-5,x,1083.130203,2263.379844,3196.375863,,,,,,,,,,
