File,1-O1_closure,Normalized,1-O1_burst,Normalized,1-V1,Normalized,1-x1,Normalized,1-O2_closure,Normalized,1-O2_remainder,Normalized,1-V2,Normalized,1-x2,Normalized,2-O1_closure,Normalized,2-O1_burst,Normalized,2-V1,Normalized,2-x1,Normalized,2-O2_closure,Normalized,2-O2_remainder,Normalized,2-V2,Normalized,2-x2,Normalized
ba_p_x.TextGrid,closure,159.3959732,b burst,28.52348993,a:,169.4630872,,0,closure,104.8657718,p burst,54.53020134,_,21.81208054,x,323.8255034,closure,54.74452555,b burst,22.99270073,a,193.7956204,,0,closure,116.0583942,p burst,51.45985401,_,33.94160584,x,270.4379562
ba_p_x-2.TextGrid,closure,155.4878049,b burst,39.63414634,a:,164.6341463,,0,closure,95.52845528,p burst,30.48780488,_,59.95934959,,0,closure,64.8,b burst,26.4,a,190.8,,0,closure,127.2,p burst,45.6,_,48,x,234
ba_p_x-3.TextGrid,closure,159.8401598,b burst,23.97602398,a:,150.8491508,,0,closure,125.8741259,p burst,32.96703297,_,39.96003996,x,223.7762238,closure,41.41104294,b burst,35.88957055,a,136.196319,,0,closure,111.3496933,p burst,16.56441718,x,272.392638,,0
ba_su_.TextGrid,closure,231.433506,b burst,15.54404145,a:,151.9861831,,0,,0,s,199.4818653,u:,234.8877375,,0,closure,57.73584906,b burst,41.88679245,a,223.0188679,,0,,0,s,246.7924528,u,207.1698113,,0
ba_su_-2.TextGrid,closure,155.0053821,b burst,34.44564047,a:,191.6038751,,0,,0,s,242.1959096,u:,238.9666308,,0,closure,42.85714286,b burst,36.03896104,a,164.6103896,,0,,0,s,188.961039,u,170.4545455,,0
ba_su_-3.TextGrid,closure,108.3690987,b burst,35.40772532,a:,157.7253219,,0,,0,s,214.5922747,u:,444.2060086,,0,closure,97.5,b burst,46.25,a,148.75,,0,,0,s,231.25,u,348.75,,0
bahu_.TextGrid,closure,93.1372549,b burst,20.4248366,¾,100.4901961,,0,,0,h,31.04575163,u:,189.5424837,,0,closure,42.29508197,b burst,16.72131148,¾,109.1803279,,0,,0,h?,111.147541,u,215.4098361,,0
bahu_-2.TextGrid,closure,124.5972073,b burst,38.66809882,¾,169.7099893,,0,,0,h,110.6337272,u:,243.8238453,,0,closure,58.30388693,b burst,23.32155477,¾,151.590106,,0,,0,h,101.7667845,u,235.335689,,0
bahu_-3.TextGrid,closure,127.4944568,b burst,45.45454545,¾,165.1884701,,0,,0,h,108.6474501,u:,277.1618625,,0,closure,38.07692308,b burst,71.53846154,¾,160.3846154,,0,,0,h,103.8461538,u,238.8461538,,0
bat_.TextGrid,closure,141.6765053,b burst,17.70956316,a,129.8701299,,0,,0,_,177.0956316,_,195.9858323,,0,closure,40.08097166,b burst,29.14979757,a,153.0364372,,0,,0,_,205.2631579,_,137.2469636,,0
