file,shape,vowel,dur_norm,F1,F2,F3,frame,syllable,stress
ba:pəx.TextGrid,CV:Cax,a:,169.4630872,774.024723,1503.986532,2737.11296,1,1,1
ba:pəx.TextGrid,CV:Cax,ə,21.81208054,475.5159885,1362.685831,2929.440778,1,2,0
ba:pəx.TextGrid,CV:Cax,a:,193.7956204,558.061099,1337.098378,2463.906413,2,1,1
ba:pəx.TextGrid,CV:Cax,ə,33.94160584,516.4104031,880.3575409,2465.085198,2,2,0
ba:pəx-2.TextGrid,CV:Cax,a:,164.6341463,605.9901755,1185.448267,2389.442306,1,1,1
ba:pəx-2.TextGrid,CV:Cax,ə,59.95934959,593.5817019,1157.433934,2491.647872,1,2,0
ba:pəx-2.TextGrid,CV:Cax,a:,190.8,577.2962491,1421.068725,2557.233351,2,1,1
ba:pəx-2.TextGrid,CV:Cax,ə,48,547.7026452,1229.144959,2802.322506,2,2,0
ba:pəx-3.TextGrid,CV:Cax,a:,150.8491508,701.8907216,1332.869993,2616.132531,1,1,1
ba:pəx-3.TextGrid,CV:Cax,ə,39.96003996,600.1184854,1034.178712,2696.490359,1,2,0
ba:pəx-3.TextGrid,CV:Cax,a:,136.196319,696.1262359,1466.512463,2736.042401,2,1,1
ba:pəx-3.TextGrid,CV:Cax,,,,,,2,2,0
ba:su:.TextGrid,CV:CV:,a:,151.9861831,607.308722,1197.778661,2333.420038,1,1,1
ba:su:.TextGrid,CV:CV:,u:,234.8877375,311.1049117,926.297494,3077.757303,1,2,0
ba:su:.TextGrid,CV:CV:,a:,223.0188679,521.2329934,1173.313714,2510.094214,2,1,1
ba:su:.TextGrid,CV:CV:,u:,207.1698113,332.6016846,1038.433061,3039.974987,2,2,0
ba:su:-2.TextGrid,CV:CV:,a:,191.6038751,634.0855959,1396.397726,2412.413826,1,1,1
ba:su:-2.TextGrid,CV:CV:,u:,238.9666308,367.9571212,1036.345778,2884.927232,1,2,0
ba:su:-2.TextGrid,CV:CV:,a:,164.6103896,518.5260927,1355.157798,2624.259029,2,1,1
ba:su:-2.TextGrid,CV:CV:,u:,170.4545455,366.2325383,1121.650087,2590.524612,2,2,0
ba:su:-3.TextGrid,CV:CV:,a:,157.7253219,575.6619179,1630.919495,2719.718233,1,1,1
ba:su:-3.TextGrid,CV:CV:,u:,444.2060086,358.833799,1174.607209,2668.007563,1,2,0
ba:su:-3.TextGrid,CV:CV:,a:,148.75,594.2827139,1603.251264,2578.868977,2,1,1
ba:su:-3.TextGrid,CV:CV:,u:,348.75,442.0850189,1304.29764,2680.213812,2,2,0
bahu:.TextGrid,CVCV:,a,100.4901961,546.8043499,1391.081512,2542.273368,1,1,0
bahu:.TextGrid,CVCV:,u:,189.5424837,343.1572715,1073.340006,2836.849333,1,2,1
