file,shape,vowel,dur_norm,frame,syllable,stress
baːpəx.TextGrid,CvːCax,a:,169.4630872,1,1,1
baːpəx.TextGrid,CvːCax,ə,21.81208054,1,2,0
baːpəx.TextGrid,CvːCax,a:,193.7956204,2,1,1
baːpəx.TextGrid,CvːCax,ə,33.94160584,2,2,0
baːpəx-2.TextGrid,CvːCax,a:,164.6341463,1,1,1
baːpəx-2.TextGrid,CvːCax,ə,59.95934959,1,2,0
baːpəx-2.TextGrid,CvːCax,a:,190.8,2,1,1
baːpəx-2.TextGrid,CvːCax,ə,48,2,2,0
baːpəx-3.TextGrid,CvːCax,a:,150.8491508,1,1,1
baːpəx-3.TextGrid,CvːCax,ə,39.96003996,1,2,0
baːpəx-3.TextGrid,CvːCax,a:,136.196319,2,1,1
baːpəx-3.TextGrid,CvːCax,,,2,2,0
baːsuː.TextGrid,CVːCVː,a:,151.9861831,1,1,1
baːsuː.TextGrid,CVːCVː,u:,234.8877375,1,2,0
baːsuː.TextGrid,CVːCVː,a:,223.0188679,2,1,1
baːsuː.TextGrid,CVːCVː,u:,207.1698113,2,2,0
baːsuː-2.TextGrid,CVːCVː,a:,191.6038751,1,1,1
baːsuː-2.TextGrid,CVːCVː,u:,238.9666308,1,2,0
baːsuː-2.TextGrid,CVːCVː,a:,164.6103896,2,1,1
baːsuː-2.TextGrid,CVːCVː,u:,170.4545455,2,2,0
baːsuː-3.TextGrid,CVːCVː,a:,157.7253219,1,1,1
baːsuː-3.TextGrid,CVːCVː,u:,444.2060086,1,2,0
baːsuː-3.TextGrid,CVːCVː,a:,148.75,2,1,1
baːsuː-3.TextGrid,CVːCVː,u:,348.75,2,2,0
bahuː.TextGrid,CVCVː,a,100.4901961,1,1,0
bahuː.TextGrid,CVCVː,u:,189.5424837,1,2,1
bahuː.TextGrid,CVCVː,a,109.1803279,2,1,0
bahuː.TextGrid,CVCVː,u:,215.4098361,2,2,1
bahuː-2.TextGrid,CVCVː,a,169.7099893,1,1,0
bahuː-2.TextGrid,CVCVː,u:,243.8238453,1,2,1
bahuː-2.TextGrid,CVCVː,a,151.590106,2,1,0
bahuː-2.TextGrid,CVCVː,u:,235.335689,2,2,1
bahuː-3.TextGrid,CVCVː,a,165.1884701,1,1,0
bahuː-3.TextGrid,CVCVː,u:,277.1618625,1,2,1
bahuː-3.TextGrid,CVCVː,a,160.3846154,2,1,0
bahuː-3.TextGrid,CVCVː,u:,238.8461538,2,2,1
batə.TextGrid,CVCV,a,129.8701299,1,1,1
batə.TextGrid,CVCV,ə,195.9858323,1,2,0
batə.TextGrid,CVCV,a,153.0364372,2,1,1
batə.TextGrid,CVCV,ə,137.2469636,2,2,0
batə-2.TextGrid,CVCV,a,127.1617497,1,1,1
batə-2.TextGrid,CVCV,ə,104.7812818,1,2,0
batə-2.TextGrid,CVCV,a,137.0689655,2,1,1
batə-2.TextGrid,CVCV,ə,107.3275862,2,2,0
batə-3.TextGrid,CVCV,a,129.3013556,1,1,1
batə-3.TextGrid,CVCV,ə,94.89051095,1,2,0
batə-3.TextGrid,CVCV,a,142.1052632,2,1,1
batə-3.TextGrid,CVCV,ə,119.0283401,2,2,0
baxtə.TextGrid,CaxCV,a,68.28528073,1,1,1
baxtə.TextGrid,CaxCV,ə,97.87556904,1,2,0
baxtə.TextGrid,CaxCV,a,78.30188679,2,1,1
baxtə.TextGrid,CaxCV,ə,139.6226415,2,2,0
baxtə-2.TextGrid,CaxCV,a,76.99901283,1,1,1
baxtə-2.TextGrid,CaxCV,ə,57.25567621,1,2,0
baxtə-2.TextGrid,CaxCV,a,111.3207547,2,1,1
baxtə-2.TextGrid,CaxCV,ə,116.9811321,2,2,0
baxtə-3.TextGrid,CaxCV,a,93.41199607,1,1,1
baxtə-3.TextGrid,CaxCV,ə,104.2281219,1,2,0
baxtə-3.TextGrid,CaxCV,a,126.5060241,2,1,1
baxtə-3.TextGrid,CaxCV,ə,112.0481928,2,2,0
baxtə-4.TextGrid,CaxCV,a,113.9380531,1,1,1
baxtə-4.TextGrid,CaxCV,ə,151.5486726,1,2,0
baxtə-4.TextGrid,CaxCV,a,130.2631579,2,1,1
baxtə-4.TextGrid,CaxCV,ə,157.8947368,2,2,0
baxtəx-2.TextGrid,CaxCax,a,103.9387309,1,1,1
baxtəx-2.TextGrid,CaxCax,ə,97.37417943,1,2,0
baxtəx-2.TextGrid,CaxCax,a,114.7368421,2,1,1
baxtəx-2.TextGrid,CaxCax,ə,75.78947368,2,2,0
baxtəx-3.TextGrid,CaxCax,a,119.5779601,1,1,1
baxtəx-3.TextGrid,CaxCax,ə,99.64830012,1,2,0
baxtəx-3.TextGrid,CaxCax,a,138.1889764,2,1,1
baxtəx-3.TextGrid,CaxCax,ə,82.67716535,2,2,0
baxto.TextGrid,CaxCV,a,123.1884058,1,1,1
baxto.TextGrid,CaxCV,o,335.7487923,1,2,0
baxto.TextGrid,CaxCV,a,112.6482213,2,1,1
baxto.TextGrid,CaxCV,o,341.5019763,2,2,0
baxto-2.TextGrid,CaxCV,a,72.29894395,1,1,1
baxto-2.TextGrid,CaxCV,o,198.2128351,1,2,0
baxto-2.TextGrid,CaxCV,a,91.15384615,2,1,1
