file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3
baapach-2,a:,605.9901755,1185.448267,2389.442306,baapach-2,ə,593.5817019,1157.433934,2491.647872,baapach-2,a:,577.2962491,1421.068725,2557.233351,baapach-2,ə,547.7026452,1229.144959,2802.322506
baapach-3,a:,701.8907216,1332.869993,2616.132531,baapach-3,ə,600.1184854,1034.178712,2696.490359,baapach-3,a:,696.1262359,1466.512463,2736.042401,,,,,
baapach,a:,774.024723,1503.986532,2737.11296,baapach,ə,475.5159885,1362.685831,2929.440778,baapach,a:,558.061099,1337.098378,2463.906413,baapach,ə,516.4104031,880.3575409,2465.085198
baasuu-2,a:,634.0855959,1396.397726,2412.413826,baasuu-2,u:,367.9571212,1036.345778,2884.927232,baasuu-2,a:,518.5260927,1355.157798,2624.259029,baasuu-2,u,366.2325383,1121.650087,2590.524612
baasuu-3,a:,575.6619179,1630.919495,2719.718233,baasuu-3,u:,358.833799,1174.607209,2668.007563,baasuu-3,a:,594.2827139,1603.251264,2578.868977,baasuu-3,u,442.0850189,1304.29764,2680.213812
baasuu,a:,607.308722,1197.778661,2333.420038,baasuu,u:,311.1049117,926.297494,3077.757303,baasuu,a:,521.2329934,1173.313714,2510.094214,baasuu,u,332.6016846,1038.433061,3039.974987
bacach-2,ə,515.1308127,1311.159458,2450.279483,bacach-2,a,569.390245,1313.116969,2611.297516,bacach-2,ə,334.9570698,1151.983403,2892.298929,bacach-2,a,602.9891386,1402.028108,2591.176586
bacach-3,ə,496.885588,1297.409058,2733.795304,bacach-3,a,725.7511686,1512.535296,2734.216123,bacach-3,ə,407.8767769,1249.669363,2602.963119,bacach-3,a,616.8234724,1479.708421,2649.485364
bacach-4,ə,455.913564,1326.256412,2832.973957,bacach-4,a,693.4064857,1448.110175,2696.272172,bacach-4,ə,326.7149955,1233.902252,2482.879971,bacach-4,a,616.7458278,1425.546942,2270.821609
bacach-5,ə,455.4374601,1308.000758,2908.182199,bacach-5,a,614.441536,1337.094716,2562.755049,bacach-5,ə,422.5326784,1318.869292,2760.776369,bacach-5,a,651.474676,1582.372116,2950.596026
bacach-6,ə,463.153457,1254.698808,2462.288388,bacach-6,a,639.7171436,1399.389734,2692.285635,bacach-6,ə,355.5292119,1150.097208,2655.746498,bacach-6,a,584.1725048,1326.851762,2594.251575
bacach,ə,491.1594478,1100.497805,2525.312349,bacach,a,520.9023632,1299.71061,2635.604843,bacach,ə,423.9718618,1316.184483,2920.992968,bacach,a,630.606388,1418.324597,2550.246285
bachta-2,a,696.8598747,1508.861429,2637.135616,bachta-2,ə,569.8988037,1671.583849,2822.151555,bachta-2,a,628.288705,1558.445559,2902.14961,bachta-2,ə,481.7800118,1380.642981,2757.540607
bachta-3,a,597.452377,1183.406294,2629.732735,bachta-3,ə,622.909291,1739.059329,3073.241319,bachta-3,a,697.0549571,1570.673174,2767.696461,bachta-3,ə,379.9670216,1216.152095,2499.652233
bachta-4,a,672.2582029,1432.591679,2780.701959,bachta-4,ə,424.8173335,1327.97481,2533.463968,bachta-4,a,744.4433389,1749.758245,2943.367575,bachta-4,ə,670.9503847,1742.472177,2937.231762
bachta,a,840.0413688,1501.836508,2567.936334,bachta,ə,609.0744941,1654.023827,3010.571068,bachta,a,731.6539774,1479.886957,2839.110659,bachta,ə,507.5572437,1617.489541,2838.771972
bachtach-2,a,710.9841844,1317.68751,2460.218052,bachtach-2,ə,517.903888,1280.781151,2711.024996,bachtach-2,a,690.3959561,1366.360018,2518.362419,bachtach-2,ə,576.6654298,1419.439331,2807.306687
bachtach-3,a,752.2218932,1506.958943,2688.888708,bachtach-3,ə,711.2273041,1597.92471,2669.456682,bachtach-3,a,749.5886914,1679.470163,2862.522572,bachtach-3,ə,575.6511641,1294.401196,2662.237759
bachtach,a,746.39014,1604.841086,2788.465656,bachtach,ə,528.1281437,1588.804712,2855.022596,bachtach,a,647.0839308,1173.340638,2837.487169,bachtach,ə,499.7792284,1446.054495,2308.538013
bachto-2,a,781.7101911,1559.572065,2762.337939,bachto-2,o,446.7531132,1180.757143,2574.927059,bachto-2,a,698.7987232,1596.290622,2739.081386,bachto-2,o,473.6018548,1190.79659,2779.744643
bachto,a,653.0253182,1461.84703,2622.489139,bachto,o,486.2345251,1311.999715,2693.715066,bachto,a,697.31652,1534.032762,2567.665257,bachto,o,438.7483723,1264.374008,2640.669197
bachtuu-2,a,678.5988299,1427.742326,2758.848626,bachtuu-2,u:,370.9091031,1225.069901,2756.57304,bachtuu-2,a,700.4561352,1599.275403,2723.157099,bachtuu-2,u,383.627284,1252.135754,2741.025575
bachtuu-3,a,710.617152,1391.051417,2626.392178,bachtuu-3,u:,403.393293,1260.846146,2818.442719,bachtuu-3,a,609.6426426,1565.083528,2739.294096,bachtuu-3,u,396.7184352,1372.983269,2529.432638
bachtuu,a,673.4026548,1375.859621,2706.672559,bachtuu,u:,343.145946,1102.559388,2901.513115,bachtuu,a,589.448946,1378.083268,2668.343542,bachtuu,u,357.9932013,1043.657269,2987.151986
bahuu-2,æ,617.3926137,1560.719883,2785.25591,bahuu-2,u:,499.5916107,1428.473494,2565.212065,bahuu-2,æ,599.0596424,1541.702338,2660.176542,bahuu-2,u,416.7870471,1200.66209,2579.133869
bahuu-3,æ,584.9942656,1464.127834,2430.49628,bahuu-3,u:,485.205282,1313.123828,2582.682405,bahuu-3,æ,636.7623541,1570.969904,2638.495143,bahuu-3,u,316.7034473,1021.859968,2386.416448
bahuu,æ,546.8043499,1391.081512,2542.273368,bahuu,u:,343.1572715,1073.340006,2836.849333,bahuu,æ,571.6831099,1544.64175,2784.346976,bahuu,u,372.1041728,1179.765011,2603.175319
bata-2,a,640.1094506,1406.890444,2637.217224,bata-2,ə,388.9020074,1462.52624,2679.510923,bata-2,a,787.2352274,1563.670184,2868.416361,bata-2,ə,419.0948642,1467.346796,2767.266993
bata-3,a,777.0171133,1418.134878,2917.477734,bata-3,ə,365.5293719,1560.378445,2791.453066,bata-3,a,817.2460277,1634.041462,2862.73572,bata-3,ə,455.2879913,1640.836598,2931.503518
bata,a,594.5452301,1326.563499,2501.416937,bata,ə,617.9423362,1733.776722,2859.665932,bata,a,569.935178,1481.786477,2690.011895,bata,ə,381.2326869,1217.515621,2520.153921
biseach-2,i,338.3547971,1696.498701,2737.918115,biseach-2,a,905.8671163,2205.901919,3331.465339,biseach-2,i,365.8259151,1549.368066,2586.894884,biseach-2,ə,526.5146575,1308.998046,2586.815515
biseach-3,i,352.4254729,1442.591338,2593.447518,biseach-3,a,466.1322454,1320.395697,2674.181307,biseach-3,i,396.6271654,1614.435356,2722.819921,biseach-3,ə,488.2538867,1335.625498,2543.13929
biseach-4,i,391.9915011,1362.677771,2704.323655,biseach-4,a,675.7791251,1625.431262,2711.890626,biseach-4,i,433.532271,1692.299263,3130.375857,biseach-4,ə,621.7274782,1706.825672,2736.664319
biseach-5,i,396.2523019,1555.417857,2635.946595,biseach-5,a,593.1269171,1605.818175,2663.812304,biseach-5,i,409.9962225,1677.06629,3015.513538,biseach-5,ə,641.7587589,1615.869668,2832.103035
biseach-6,i,381.4440949,1548.104501,2775.580409,biseach-6,a,826.3501807,2017.111217,2873.346778,biseach-6,i,375.3975692,1436.237759,2749.621496,biseach-6,ə,667.4235352,1648.529604,2753.832381
biseach,i,360.1027106,1547.193666,2843.566301,biseach,a,499.2133406,1427.671879,2254.485376,biseach,i,339.8016028,1674.737515,2747.417514,biseach,ə,496.0698023,1322.213595,2628.261178
