file,shape,vowel,F1,F2,F3,frame,syllable,stress
baapach-2,CvːCax,a:,605.9901755,1185.448267,2389.442306,1,1,1
baapach-2,CvːCax,ə,593.5817019,1157.433934,2491.647872,1,2,0
baapach-2,CvːCax,a:,577.2962491,1421.068725,2557.233351,2,1,1
baapach-2,CvːCax,ə,547.7026452,1229.144959,2802.322506,2,2,0
baapach-3,CvːCax,a:,701.8907216,1332.869993,2616.132531,1,1,1
baapach-3,CvːCax,ə,600.1184854,1034.178712,2696.490359,1,2,0
baapach-3,CvːCax,a:,696.1262359,1466.512463,2736.042401,2,1,1
,CvːCax,,,,,2,2,0
baapach,CvːCax,a:,774.024723,1503.986532,2737.11296,1,1,1
baapach,CvːCax,ə,475.5159885,1362.685831,2929.440778,1,2,0
baapach,CvːCax,a:,558.061099,1337.098378,2463.906413,2,1,1
baapach,CvːCax,ə,516.4104031,880.3575409,2465.085198,2,2,0
baasuu-2,CVːCVː,a:,634.0855959,1396.397726,2412.413826,1,1,1
baasuu-2,CVːCVː,u:,367.9571212,1036.345778,2884.927232,1,2,0
baasuu-2,CVːCVː,a:,518.5260927,1355.157798,2624.259029,2,1,1
baasuu-2,CVːCVː,u,366.2325383,1121.650087,2590.524612,2,2,0
baasuu-3,CVːCVː,a:,575.6619179,1630.919495,2719.718233,1,1,1
baasuu-3,CVːCVː,u:,358.833799,1174.607209,2668.007563,1,2,0
baasuu-3,CVːCVː,a:,594.2827139,1603.251264,2578.868977,2,1,1
baasuu-3,CVːCVː,u:,442.0850189,1304.29764,2680.213812,2,2,0
baasuu,CVːCVː,a:,607.308722,1197.778661,2333.420038,1,1,1
baasuu,CVːCVː,u:,311.1049117,926.297494,3077.757303,1,2,0
baasuu,CVːCVː,a:,521.2329934,1173.313714,2510.094214,2,1,1
baasuu,CVːCVː,u,332.6016846,1038.433061,3039.974987,2,2,0
bacach-2,CVCax,ə,515.1308127,1311.159458,2450.279483,1,1,0
bacach-2,CVCax,a,569.390245,1313.116969,2611.297516,1,2,1
bacach-2,CVCax,ə,334.9570698,1151.983403,2892.298929,2,1,0
bacach-2,CVCax,a,602.9891386,1402.028108,2591.176586,2,2,1
bacach-3,CVCax,ə,496.885588,1297.409058,2733.795304,1,1,0
bacach-3,CVCax,a,725.7511686,1512.535296,2734.216123,1,2,1
bacach-3,CVCax,ə,407.8767769,1249.669363,2602.963119,2,1,0
bacach-3,CVCax,a,616.8234724,1479.708421,2649.485364,2,2,1
bacach-4,CVCax,ə,455.913564,1326.256412,2832.973957,1,1,0
bacach-4,CVCax,a,693.4064857,1448.110175,2696.272172,1,2,1
bacach-4,CVCax,ə,326.7149955,1233.902252,2482.879971,2,1,0
bacach-4,CVCax,a,616.7458278,1425.546942,2270.821609,2,2,1
bacach-5,CVCax,ə,455.4374601,1308.000758,2908.182199,1,1,0
bacach-5,CVCax,a,614.441536,1337.094716,2562.755049,1,2,1
bacach-5,CVCax,ə,422.5326784,1318.869292,2760.776369,2,1,0
bacach-5,CVCax,a,651.474676,1582.372116,2950.596026,2,2,1
bacach-6,CVCax,ə,463.153457,1254.698808,2462.288388,1,1,0
bacach-6,CVCax,a,639.7171436,1399.389734,2692.285635,1,2,1
bacach-6,CVCax,ə,355.5292119,1150.097208,2655.746498,2,1,0
bacach-6,CVCax,a,584.1725048,1326.851762,2594.251575,2,2,1
bacach,CVCax,ə,491.1594478,1100.497805,2525.312349,1,1,0
bacach,CVCax,a,520.9023632,1299.71061,2635.604843,1,2,1
bacach,CVCax,ə,423.9718618,1316.184483,2920.992968,2,1,0
bacach,CVCax,a,630.606388,1418.324597,2550.246285,2,2,1
bachta-2,CaxCV,a,696.8598747,1508.861429,2637.135616,1,1,1
bachta-2,CaxCV,ə,569.8988037,1671.583849,2822.151555,1,2,0
bachta-2,CaxCV,a,628.288705,1558.445559,2902.14961,2,1,1
bachta-2,CaxCV,ə,481.7800118,1380.642981,2757.540607,2,2,0
bachta-3,CaxCV,a,597.452377,1183.406294,2629.732735,1,1,1
bachta-3,CaxCV,ə,622.909291,1739.059329,3073.241319,1,2,0
bachta-3,CaxCV,a,697.0549571,1570.673174,2767.696461,2,1,1
bachta-3,CaxCV,ə,379.9670216,1216.152095,2499.652233,2,2,0
bachta-4,CaxCV,a,672.2582029,1432.591679,2780.701959,1,1,1
bachta-4,CaxCV,ə,424.8173335,1327.97481,2533.463968,1,2,0
bachta-4,CaxCV,a,744.4433389,1749.758245,2943.367575,2,1,1
bachta-4,CaxCV,ə,670.9503847,1742.472177,2937.231762,2,2,0
bachta,CaxCV,a,840.0413688,1501.836508,2567.936334,1,1,1
bachta,CaxCV,ə,609.0744941,1654.023827,3010.571068,1,2,0
bachta,CaxCV,a,731.6539774,1479.886957,2839.110659,2,1,1
bachta,CaxCV,ə,507.5572437,1617.489541,2838.771972,2,2,0
bachtach-2,CaxCax,a,710.9841844,1317.68751,2460.218052,1,1,1
bachtach-2,CaxCax,ə,517.903888,1280.781151,2711.024996,1,2,0
bachtach-2,CaxCax,a,690.3959561,1366.360018,2518.362419,2,1,1
bachtach-2,CaxCax,ə,576.6654298,1419.439331,2807.306687,2,2,0
bachtach-3,CaxCax,a,752.2218932,1506.958943,2688.888708,1,1,1
bachtach-3,CaxCax,ə,711.2273041,1597.92471,2669.456682,1,2,0
bachtach-3,CaxCax,a,749.5886914,1679.470163,2862.522572,2,1,1
bachtach-3,CaxCax,ə,575.6511641,1294.401196,2662.237759,2,2,0
bachtach,CaxCax,a,746.39014,1604.841086,2788.465656,1,1,1
bachtach,CaxCax,ə,528.1281437,1588.804712,2855.022596,1,2,0
bachtach,CaxCax,a,647.0839308,1173.340638,2837.487169,2,1,1
bachtach,CaxCax,ə,499.7792284,1446.054495,2308.538013,2,2,0
bachto-2,CaxCV,a,781.7101911,1559.572065,2762.337939,1,1,1
bachto-2,CaxCV,o,446.7531132,1180.757143,2574.927059,1,2,0
bachto-2,CaxCV,a,698.7987232,1596.290622,2739.081386,2,1,1
bachto-2,CaxCV,o,473.6018548,1190.79659,2779.744643,2,2,0
bachto,CaxCV,a,653.0253182,1461.84703,2622.489139,1,1,1
bachto,CaxCV,o,486.2345251,1311.999715,2693.715066,1,2,0
bachto,CaxCV,a,697.31652,1534.032762,2567.665257,2,1,1
bachto,CaxCV,o,438.7483723,1264.374008,2640.669197,2,2,0
bachtuu-2,CaxCVː,a,678.5988299,1427.742326,2758.848626,1,1,0
bachtuu-2,CaxCVː,u:,370.9091031,1225.069901,2756.57304,1,2,1
bachtuu-2,CaxCVː,a,700.4561352,1599.275403,2723.157099,2,1,0
bachtuu-2,CaxCVː,u,383.627284,1252.135754,2741.025575,2,2,1
bachtuu-3,CaxCVː,a,710.617152,1391.051417,2626.392178,1,1,0
bachtuu-3,CaxCVː,u:,403.393293,1260.846146,2818.442719,1,2,1
bachtuu-3,CaxCVː,a,609.6426426,1565.083528,2739.294096,2,1,1
bachtuu-3,CaxCVː,u,396.7184352,1372.983269,2529.432638,2,2,1
bachtuu,CaxCVː,a,673.4026548,1375.859621,2706.672559,1,1,0
bachtuu,CaxCVː,u:,343.145946,1102.559388,2901.513115,1,2,1
bachtuu,CaxCVː,a,589.448946,1378.083268,2668.343542,2,1,0
bachtuu,CaxCVː,u,357.9932013,1043.657269,2987.151986,2,2,1
bahuu-2,CVCVː,æ,617.3926137,1560.719883,2785.25591,1,1,0
bahuu-2,CVCVː,u:,499.5916107,1428.473494,2565.212065,1,2,1
bahuu-2,CVCVː,æ,599.0596424,1541.702338,2660.176542,2,1,0
bahuu-2,CVCVː,u,416.7870471,1200.66209,2579.133869,2,2,1
bahuu-3,CVCVː,æ,584.9942656,1464.127834,2430.49628,1,1,0
bahuu-3,CVCVː,u:,485.205282,1313.123828,2582.682405,1,2,1
bahuu-3,CVCVː,æ,636.7623541,1570.969904,2638.495143,2,1,0
bahuu-3,CVCVː,u,316.7034473,1021.859968,2386.416448,2,2,1
bahuu,CVCVː,æ,546.8043499,1391.081512,2542.273368,1,1,0
bahuu,CVCVː,u:,343.1572715,1073.340006,2836.849333,1,2,1
bahuu,CVCVː,æ,571.6831099,1544.64175,2784.346976,2,1,0
bahuu,CVCVː,u,372.1041728,1179.765011,2603.175319,2,2,1
bata-2,CVCV,a,640.1094506,1406.890444,2637.217224,1,1,1
bata-2,CVCV,ə,388.9020074,1462.52624,2679.510923,1,2,0
bata-2,CVCV,a,787.2352274,1563.670184,2868.416361,2,1,1
bata-2,CVCV,ə,419.0948642,1467.346796,2767.266993,2,2,0
bata-3,CVCV,a,777.0171133,1418.134878,2917.477734,1,1,1
bata-3,CVCV,ə,365.5293719,1560.378445,2791.453066,1,2,0
bata-3,CVCV,a,817.2460277,1634.041462,2862.73572,2,1,1
bata-3,CVCV,ə,455.2879913,1640.836598,2931.503518,2,2,0
bata,CVCV,a,594.5452301,1326.563499,2501.416937,1,1,1
bata,CVCV,ə,617.9423362,1733.776722,2859.665932,1,2,0
bata,CVCV,a,569.935178,1481.786477,2690.011895,2,1,1
bata,CVCV,ə,381.2326869,1217.515621,2520.153921,2,2,0
biseach-2,CVCax,i,338.3547971,1696.498701,2737.918115,1,1,0
biseach-2,CVCax,a,905.8671163,2205.901919,3331.465339,1,2,1
biseach-2,CVCax,i,365.8259151,1549.368066,2586.894884,2,1,0
biseach-2,CVCax,ə,526.5146575,1308.998046,2586.815515,2,2,1
